customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,age_group
36,54,Male,Blouse,Clothing,30,Massachusetts,M,Cyan,Summer,4.1,Yes,2-Day Shipping,Yes,Yes,47,Credit Card,Bi-Weekly,Adult
37,35,Male,T-shirt,Clothing,75,Illinois,M,Maroon,Winter,4.9,Yes,Free Shipping,Yes,Yes,51,PayPal,Fortnightly,Adult
38,35,Male,Jeans,Clothing,40,Indiana,S,Cyan,Summer,3,Yes,Store Pickup,Yes,Yes,12,PayPal,Weekly,Senior
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,,Yes,2-Day Shipping,Yes,Yes,50,Venmo,Every 3 Months,Young Adult
40,70,Male,Pants,Clothing,59,Arizona,S,Turquoise,Summer,4.5,Yes,Express,Yes,Yes,21,Credit Card,Monthly,Young Adult
41,69,Male,Handbag,Accessories,85,Louisiana,L,Beige,Winter,5,Yes,Next Day Air,Yes,Yes,35,Debit Card,Quarterly,Adult
42,67,Male,Scarf,Accessories,40,Alaska,M,Orange,Spring,4.7,Yes,Standard,Yes,Yes,42,Venmo,Annually,Senior
43,20,Male,Coat,Outerwear,101,Tennessee,M,Beige,Spring,4.2,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,Middle-aged
44,25,Male,Scarf,Accessories,71,Ohio,L,Lavender,Fall,4,Yes,Store Pickup,Yes,Yes,21,PayPal,Fortnightly,Senior
45,39,Male,Hat,Accessories,48,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,55,PayPal,Weekly,Middle-aged
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,3.3,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,Young Adult
47,57,Male,Shirt,Clothing,41,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,Senior
48,55,Male,Jewelry,Accessories,61,Montana,M,Charcoal,Winter,4.6,Yes,Free Shipping,Yes,Yes,43,Cash,Weekly,Middle-aged
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,3,Yes,Store Pickup,Yes,Yes,40,Cash,Monthly,Adult
50,68,Male,Hoodie,Clothing,28,New Jersey,S,Indigo,Spring,4.8,Yes,Next Day Air,Yes,Yes,32,Debit Card,Bi-Weekly,Adult
51,49,Male,Blouse,Clothing,29,Maryland,M,Red,Spring,,Yes,Store Pickup,Yes,Yes,43,Debit Card,Bi-Weekly,Young Adult
52,59,Male,Skirt,Clothing,62,Vermont,XL,Gray,Winter,4.9,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,Middle-aged
53,42,Male,T-shirt,Clothing,19,Alaska,M,Green,Summer,2.9,Yes,Free Shipping,Yes,Yes,35,Credit Card,Weekly,Young Adult
54,29,Male,Skirt,Clothing,27,Mississippi,S,Peach,Winter,4,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,Senior
55,47,Male,Coat,Outerwear,97,New Mexico,M,Brown,Summer,4.5,Yes,Next Day Air,Yes,Yes,33,Debit Card,Bi-Weekly,Young Adult
56,40,Male,Jacket,Outerwear,32,South Carolina,M,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,47,Credit Card,Annually,Senior
57,41,Male,Backpack,Accessories,69,Mississippi,XL,Brown,Summer,5,Yes,Store Pickup,Yes,Yes,58,Credit Card,Weekly,Middle-aged
58,21,Male,Coat,Outerwear,62,West Virginia,M,White,Summer,4.7,Yes,Store Pickup,Yes,Yes,19,Debit Card,Fortnightly,Adult
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.3,Yes,Free Shipping,Yes,Yes,31,Venmo,Monthly,Adult
60,63,Male,Belt,Accessories,85,Louisiana,L,Yellow,Spring,4.8,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,Young Adult
61,50,Male,Sweater,Clothing,35,Idaho,L,Brown,Summer,4.1,Yes,Express,Yes,Yes,18,Cash,Weekly,Adult
62,55,Male,Scarf,Accessories,73,Texas,M,Orange,Winter,5,Yes,Store Pickup,Yes,Yes,22,Credit Card,Every 3 Months,Middle-aged
63,30,Male,Sneakers,Footwear,20,Mississippi,S,Magenta,Spring,4,Yes,Free Shipping,Yes,Yes,30,Credit Card,Fortnightly,Senior
64,33,Male,Sunglasses,Accessories,80,Arizona,L,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,47,Credit Card,Weekly,Senior
65,65,Male,Boots,Footwear,90,Alabama,S,Green,Fall,4.9,Yes,Standard,Yes,Yes,21,Debit Card,Fortnightly,Senior
66,65,Male,Backpack,Accessories,39,New Jersey,M,Purple,Spring,4.9,Yes,2-Day Shipping,Yes,Yes,41,Venmo,Every 3 Months,Adult
67,31,Male,Blouse,Clothing,101,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,Middle-aged
68,45,Male,Coat,Outerwear,37,Connecticut,L,Gray,Winter,4.5,Yes,Store Pickup,Yes,Yes,56,Debit Card,Monthly,Senior
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,4.1,Yes,Next Day Air,Yes,Yes,18,Cash,Every 3 Months,Middle-aged
70,48,Male,Belt,Accessories,66,Tennessee,S,Cyan,Summer,4.7,Yes,Express,Yes,Yes,5,Cash,Weekly,Middle-aged
71,22,Male,Belt,Accessories,31,Alabama,M,Magenta,Fall,4.5,Yes,Express,Yes,Yes,26,Debit Card,Every 3 Months,Middle-aged
72,36,Male,Dress,Clothing,51,Virginia,L,Gold,Summer,3.1,Yes,Express,Yes,Yes,30,Bank Transfer,Annually,Young Adult
73,18,Male,Dress,Clothing,28,Georgia,M,Olive,Winter,3.3,Yes,Store Pickup,Yes,Yes,22,Bank Transfer,Every 3 Months,Senior
74,48,Male,Pants,Clothing,93,Hawaii,M,Teal,Spring,3,Yes,Free Shipping,Yes,Yes,42,Bank Transfer,Bi-Weekly,Middle-aged
75,49,Male,Gloves,Accessories,51,Indiana,L,Violet,Spring,4.9,Yes,Express,Yes,Yes,3,Cash,Monthly,Young Adult
76,64,Male,Scarf,Accessories,87,Utah,M,Blue,Summer,2.9,Yes,Free Shipping,Yes,Yes,18,Credit Card,Annually,Adult
77,50,Male,Hat,Accessories,42,Delaware,S,Teal,Summer,4.3,Yes,Free Shipping,Yes,Yes,36,Venmo,Monthly,Young Adult
78,22,Male,Dress,Clothing,51,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,38,Debit Card,Fortnightly,Adult
79,50,Male,Skirt,Clothing,93,Nebraska,M,Maroon,Spring,5,Yes,Free Shipping,Yes,Yes,55,Venmo,Fortnightly,Senior
80,38,Male,Jacket,Outerwear,93,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,Young Adult
81,19,Male,Sandals,Footwear,70,New York,XL,Blue,Summer,,Yes,Store Pickup,Yes,Yes,22,Credit Card,Every 3 Months,Middle-aged
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.8,Yes,Express,Yes,Yes,33,Credit Card,Every 3 Months,Adult
83,19,Male,Pants,Clothing,31,Georgia,S,Olive,Spring,4.2,Yes,2-Day Shipping,Yes,Yes,23,Credit Card,Every 3 Months,Middle-aged
84,36,Male,Dress,Clothing,38,Texas,M,Turquoise,Summer,4.3,Yes,Standard,Yes,Yes,40,Bank Transfer,Weekly,Senior
85,52,Male,Coat,Outerwear,31,Arizona,S,Peach,Spring,4.5,Yes,Standard,Yes,Yes,46,Bank Transfer,Every 3 Months,Middle-aged
86,53,Male,Sunglasses,Accessories,100,New Mexico,M,Charcoal,Winter,4.7,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,Senior
87,24,Male,Hoodie,Clothing,44,Nevada,L,Pink,Spring,3.9,Yes,2-Day Shipping,Yes,Yes,48,Cash,Bi-Weekly,Middle-aged
88,52,Male,Shoes,Footwear,56,Ohio,M,Green,Fall,4.1,Yes,2-Day Shipping,Yes,Yes,42,Debit Card,Fortnightly,Senior
89,33,Male,T-shirt,Clothing,48,Wyoming,M,Orange,Fall,3.8,Yes,Free Shipping,Yes,Yes,36,Credit Card,Monthly,Adult
90,47,Male,Jacket,Outerwear,89,California,XL,Pink,Fall,4,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,Senior
91,25,Male,Hat,Accessories,47,South Carolina,L,Violet,Summer,3.2,Yes,Express,Yes,Yes,35,Credit Card,Monthly,Adult
92,44,Male,Scarf,Accessories,112,South Carolina,S,Green,Winter,4.8,Yes,Standard,Yes,Yes,19,Credit Card,Every 3 Months,Young Adult
93,61,Male,Jacket,Outerwear,91,Texas,M,Olive,Winter,4.5,Yes,2-Day Shipping,Yes,Yes,15,Venmo,Every 3 Months,Senior
94,37,Male,Sweater,Clothing,63,Florida,M,Purple,Fall,4.8,Yes,Standard,Yes,Yes,55,Credit Card,Weekly,Senior
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.8,Yes,Free Shipping,Yes,Yes,30,Credit Card,Weekly,Middle-aged
96,37,Male,Sneakers,Footwear,96,Missouri,L,Pink,Fall,4,Yes,Free Shipping,Yes,Yes,51,PayPal,Monthly,Middle-aged
97,32,Male,Gloves,Accessories,76,Delaware,S,Gold,Spring,,Yes,Express,Yes,Yes,44,Venmo,Every 3 Months,Senior
98,21,Male,Shoes,Footwear,101,Virginia,M,Teal,Winter,5,Yes,Store Pickup,Yes,Yes,33,Cash,Annually,Middle-aged
99,20,Male,Jeans,Clothing,68,New York,XL,Teal,Spring,2.7,Yes,Next Day Air,Yes,Yes,18,Bank Transfer,Annually,Senior
100,26,Male,Hoodie,Clothing,39,Missouri,XL,Indigo,Summer,3.9,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,Young Adult
101,62,Male,Sunglasses,Accessories,95,South Dakota,M,Maroon,Fall,2.8,Yes,Express,Yes,Yes,38,Cash,Fortnightly,Adult
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.9,Yes,Express,Yes,Yes,42,Credit Card,Bi-Weekly,Senior
103,51,Male,Socks,Clothing,71,Oklahoma,L,Violet,Winter,4.9,Yes,Next Day Air,Yes,Yes,39,Credit Card,Quarterly,Young Adult
104,54,Male,Boots,Footwear,92,West Virginia,L,Red,Winter,4,Yes,Next Day Air,Yes,Yes,20,Venmo,Bi-Weekly,Young Adult
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,Young Adult
106,69,Male,Backpack,Accessories,102,New York,M,Charcoal,Fall,3.9,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,Young Adult
107,64,Male,Jacket,Outerwear,38,Minnesota,L,White,Summer,3.9,Yes,Standard,Yes,Yes,34,Credit Card,Monthly,Adult
108,28,Male,Sneakers,Footwear,73,Maryland,L,Olive,Winter,3.2,Yes,Next Day Air,Yes,Yes,56,PayPal,Fortnightly,Young Adult
109,70,Male,Socks,Clothing,82,Montana,L,Purple,Spring,3.6,Yes,Next Day Air,Yes,Yes,34,Bank Transfer,Bi-Weekly,Young Adult
110,58,Male,T-shirt,Clothing,86,Alabama,M,Violet,Spring,2.7,Yes,Next Day Air,Yes,Yes,55,Bank Transfer,Fortnightly,Young Adult
111,56,Male,Backpack,Accessories,23,New York,M,Black,Summer,4.4,Yes,Standard,Yes,Yes,30,Venmo,Fortnightly,Adult
112,26,Male,Belt,Accessories,73,Massachusetts,L,Purple,Summer,5,Yes,Free Shipping,Yes,Yes,8,Credit Card,Annually,Adult
113,37,Male,Gloves,Accessories,67,Florida,M,Red,Spring,4.5,Yes,Free Shipping,Yes,Yes,29,PayPal,Bi-Weekly,Middle-aged
114,44,Male,Hat,Accessories,66,New Jersey,L,Maroon,Winter,3.2,Yes,Next Day Air,Yes,Yes,22,PayPal,Quarterly,Adult
115,70,Male,Coat,Outerwear,92,Massachusetts,S,Blue,Summer,4,Yes,Store Pickup,Yes,Yes,10,Cash,Weekly,Middle-aged
116,53,Male,Skirt,Clothing,97,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,45,Debit Card,Every 3 Months,Young Adult
117,55,Male,Shoes,Footwear,88,Virginia,S,Blue,Spring,3.6,Yes,Free Shipping,Yes,Yes,11,Venmo,Annually,Middle-aged
118,50,Male,Sandals,Footwear,30,South Dakota,L,Yellow,Summer,4.7,Yes,Express,Yes,Yes,27,Cash,Fortnightly,Adult
119,50,Male,Sweater,Clothing,49,Kentucky,L,Orange,Fall,5,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,Young Adult
120,38,Male,Coat,Outerwear,82,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,35,Cash,Annually,Senior
121,64,Male,Hat,Accessories,86,West Virginia,L,Red,Summer,4.2,Yes,Express,Yes,Yes,31,Bank Transfer,Annually,Senior
122,19,Male,Shorts,Clothing,74,Virginia,M,Olive,Winter,4.5,Yes,Standard,Yes,Yes,13,Cash,Fortnightly,Senior
123,40,Male,Backpack,Accessories,44,Washington,L,Brown,Spring,5,Yes,2-Day Shipping,Yes,Yes,47,Cash,Fortnightly,Middle-aged
124,57,Male,Sweater,Clothing,86,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,60,Cash,Weekly,Senior
125,44,Male,Sweater,Clothing,90,Nevada,M,Gray,Spring,3.5,Yes,Next Day Air,Yes,Yes,42,PayPal,Annually,Adult
126,49,Male,Shorts,Clothing,65,California,M,Indigo,Winter,3.8,Yes,Next Day Air,Yes,Yes,49,Venmo,Every 3 Months,Senior
127,43,Male,Shorts,Clothing,35,Mississippi,L,Pink,Spring,4.1,Yes,Store Pickup,Yes,Yes,51,Cash,Every 3 Months,Young Adult
128,24,Male,Sweater,Clothing,93,Mississippi,M,Gray,Winter,4.9,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly,Adult
129,20,Male,Scarf,Accessories,33,California,M,Gold,Spring,4.9,Yes,Standard,Yes,Yes,28,Credit Card,Fortnightly,Middle-aged
130,24,Male,Dress,Clothing,64,Pennsylvania,XL,Olive,Summer,4.4,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly,Adult
131,44,Male,Scarf,Accessories,37,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly,Senior
132,28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,47,Credit Card,Weekly,Senior
133,30,Male,Backpack,Accessories,57,New Mexico,M,Orange,Fall,5,Yes,2-Day Shipping,Yes,Yes,47,PayPal,Weekly,Senior
134,52,Male,Sweater,Clothing,72,Montana,M,Violet,Winter,2.6,Yes,Next Day Air,Yes,Yes,24,Venmo,Annually,Adult
135,43,Male,Hat,Accessories,93,Texas,L,Gray,Fall,5,Yes,Store Pickup,Yes,Yes,26,Cash,Monthly,Senior
136,43,Male,Sandals,Footwear,91,Kansas,M,Purple,Fall,4.3,Yes,Express,Yes,Yes,12,PayPal,Quarterly,Adult
137,39,Male,Blouse,Clothing,89,South Carolina,M,White,Winter,3.6,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly,Adult
138,68,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,42,PayPal,Weekly,Adult
139,68,Male,Skirt,Clothing,33,Georgia,M,Maroon,Winter,4.6,Yes,Store Pickup,Yes,Yes,41,Bank Transfer,Weekly,Middle-aged
140,49,Male,Coat,Outerwear,93,Florida,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,28,Venmo,Annually,Senior
141,63,Male,Shirt,Clothing,29,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,47,Credit Card,Weekly,Adult
142,56,Male,Gloves,Accessories,51,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,53,PayPal,Weekly,Young Adult
143,37,Male,Jacket,Outerwear,55,Nebraska,L,Violet,Fall,3.4,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly,Senior
144,30,Male,Coat,Outerwear,50,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,26,PayPal,Quarterly,Senior
145,19,Male,Shoes,Footwear,45,New Jersey,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,29,Cash,Monthly,Young Adult
146,24,Male,Jewelry,Accessories,103,Missouri,M,Teal,Fall,4.7,Yes,Standard,Yes,Yes,41,Debit Card,Quarterly,Adult
147,52,Male,Skirt,Clothing,29,Colorado,S,Black,Fall,4.3,Yes,Standard,Yes,Yes,25,Venmo,Fortnightly,Senior
148,63,Male,Shoes,Footwear,59,Idaho,M,Purple,Summer,3.6,Yes,2-Day Shipping,Yes,Yes,33,Bank Transfer,Fortnightly,Young Adult
149,37,Male,Gloves,Accessories,96,Wyoming,M,Gray,Fall,2.8,Yes,Store Pickup,Yes,Yes,51,Debit Card,Annually,Young Adult
150,38,Male,Pants,Clothing,76,Delaware,M,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,PayPal,Monthly,Middle-aged
151,35,Male,Boots,Footwear,101,California,L,Cyan,Fall,5,Yes,Standard,Yes,Yes,16,Debit Card,Every 3 Months,Middle-aged
152,28,Male,Sunglasses,Accessories,50,North Dakota,L,Turquoise,Fall,4.7,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually,Middle-aged
153,30,Male,Shirt,Clothing,80,South Carolina,S,Brown,Summer,4.5,Yes,Express,Yes,Yes,39,Venmo,Annually,Senior
154,69,Male,Hoodie,Clothing,60,North Carolina,M,Maroon,Winter,3.3,Yes,Standard,Yes,Yes,19,Debit Card,Annually,Middle-aged
155,41,Male,Dress,Clothing,103,Oklahoma,M,Charcoal,Fall,3.7,Yes,Next Day Air,Yes,Yes,21,Venmo,Quarterly,Young Adult
156,63,Male,Socks,Clothing,76,Maine,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly,Young Adult
157,35,Male,Shorts,Clothing,30,Missouri,M,Lavender,Fall,4.1,Yes,Standard,Yes,Yes,42,Debit Card,Annually,Senior
158,36,Male,Hat,Accessories,72,Vermont,S,Yellow,Fall,3,Yes,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly,Middle-aged
159,25,Male,Shirt,Clothing,71,Connecticut,XL,Teal,Fall,4.4,Yes,Standard,Yes,Yes,53,Bank Transfer,Monthly,Middle-aged
160,58,Male,Gloves,Accessories,29,New Hampshire,M,Charcoal,Fall,4.2,Yes,Store Pickup,Yes,Yes,41,Bank Transfer,Every 3 Months,Middle-aged
161,27,Male,Gloves,Accessories,21,Texas,M,Orange,Summer,5,Yes,Free Shipping,Yes,Yes,36,Venmo,Monthly,Young Adult
162,65,Male,Backpack,Accessories,53,North Dakota,M,Olive,Fall,3.3,Yes,Express,Yes,Yes,35,Venmo,Fortnightly,Young Adult
163,54,Male,Sunglasses,Accessories,77,California,M,Turquoise,Summer,3.2,Yes,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly,Senior
164,54,Male,Skirt,Clothing,63,Virginia,M,Purple,Summer,3.7,Yes,Standard,Yes,Yes,9,Debit Card,Weekly,Young Adult
165,59,Male,Handbag,Accessories,69,Delaware,S,Purple,Spring,2.7,Yes,Free Shipping,Yes,Yes,6,Credit Card,Fortnightly,Adult
166,42,Male,Handbag,Accessories,66,Kentucky,S,Yellow,Winter,3.1,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly,Middle-aged
167,46,Male,Sneakers,Footwear,34,Delaware,XL,Indigo,Fall,4.2,Yes,Store Pickup,Yes,Yes,31,Cash,Monthly,Adult
168,33,Male,Gloves,Accessories,31,Arkansas,M,Green,Fall,4.2,Yes,Express,Yes,Yes,15,Credit Card,Every 3 Months,Middle-aged
169,34,Male,Shoes,Footwear,77,Louisiana,M,Magenta,Summer,3.3,Yes,Express,Yes,Yes,5,Cash,Fortnightly,Adult
170,27,Male,Jacket,Outerwear,28,Nevada,S,Gold,Summer,3.4,Yes,Standard,Yes,Yes,3,PayPal,Every 3 Months,Middle-aged
171,52,Male,Shirt,Clothing,25,Wyoming,M,Maroon,Fall,2.7,Yes,Store Pickup,Yes,Yes,44,Venmo,Bi-Weekly,Senior
172,29,Male,Shorts,Clothing,33,Virginia,M,Blue,Summer,4,Yes,Store Pickup,Yes,Yes,5,Credit Card,Weekly,Senior
173,54,Male,Jewelry,Accessories,65,Nebraska,M,Violet,Summer,3.9,Yes,Next Day Air,Yes,Yes,31,Credit Card,Bi-Weekly,Senior
174,25,Male,Hat,Accessories,49,Hawaii,M,Turquoise,Fall,3.6,Yes,Standard,Yes,Yes,29,Cash,Annually,Senior
175,41,Male,Shoes,Footwear,38,Vermont,L,Brown,Winter,3.9,Yes,Express,Yes,Yes,35,Venmo,Annually,Middle-aged
176,53,Male,Coat,Outerwear,93,Oklahoma,L,Violet,Fall,3,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually,Young Adult
177,53,Male,Backpack,Accessories,83,New Hampshire,L,Black,Spring,2.9,Yes,Next Day Air,Yes,Yes,31,Credit Card,Quarterly,Adult
178,21,Male,Hoodie,Clothing,47,Kansas,L,Magenta,Fall,3.8,Yes,Next Day Air,Yes,Yes,51,Bank Transfer,Monthly,Senior
179,61,Male,Skirt,Clothing,44,Idaho,L,Lavender,Fall,4.4,Yes,2-Day Shipping,Yes,Yes,22,PayPal,Quarterly,Middle-aged
180,64,Male,Boots,Footwear,37,Illinois,M,Violet,Fall,5,Yes,Store Pickup,Yes,Yes,8,Bank Transfer,Fortnightly,Senior
181,51,Male,Sandals,Footwear,87,South Dakota,L,Green,Fall,3.5,Yes,Store Pickup,Yes,Yes,15,Debit Card,Fortnightly,Middle-aged
182,32,Male,Pants,Clothing,57,Massachusetts,M,Beige,Summer,4.9,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Weekly,Adult
183,38,Male,Gloves,Accessories,89,Alabama,XL,Purple,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,Debit Card,Annually,Middle-aged
